,book_id,title,author,year,rank,genre,genre_2,genre_3,user_rating,reviews,price
324,79,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2014,25,Non Fiction,Self-Help,Relationships,4.7,3477,28.0
205,168,Knock-Knock Jokes for Kids,Rob Elliott,2014,26,Non Fiction,Children's Books,Humor,4.5,3673,4.0
193,190,JOURNEY TO THE ICE P,RH Disney,2014,27,Fiction,Children's Books,Growing Up & Facts of Life,4.6,978,0.0
276,25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2014,28,Non Fiction,"New, Used & Rental Textbooks",Social Sciences,4.5,8580,46.0
219,191,Little Blue Truck,Alice Schertle,2014,29,Fiction,Children's Books,Animals,4.9,1884,0.0
226,192,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,2014,30,Non Fiction,"Cookbooks, Food & Wine",Regional & International,4.5,1386,20.0
110,193,First 100 Words,Roger Priddy,2014,31,Non Fiction,Children's Books,Education & Reference,4.7,17323,4.0
180,194,If I Stay,Gayle Forman,2014,32,Fiction,Children's Books,"Arts, Music & Photography",4.3,7153,9.0
6,195,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,2014,33,Fiction,Literature & Fiction,Genre Fiction,4.7,19735,30.0
77,196,Divergent / Insurgent,Veronica Roth,2014,34,Fiction,Teen & Young Adult,Literature & Fiction,4.5,17684,6.0
45,197,Capital in the Twenty First Century,Thomas Piketty,2014,35,Non Fiction,Politics & Social Sciences,Politics & Government,4.5,2884,28.0
259,198,Orphan Train,Christina Baker Kline,2014,36,Fiction,Literature & Fiction,Literary,4.6,21930,11.0
233,199,Mindset: The New Psychology of Success,Carol S. Dweck,2014,37,Non Fiction,"Health, Fitness & Dieting",Psychology & Counseling,4.6,5542,10.0
166,200,How to Win Friends & Influence People,Dale Carnegie,2014,38,Non Fiction,Self-Help,Relationships,4.7,25001,11.0
477,176,The Very Hungry Caterpillar,Eric Carle,2014,39,Fiction,Children's Books,Early Learning,4.9,19546,5.0
20,201,All the Light We Cannot See,Anthony Doerr,2014,40,Fiction,Literature & Fiction,Genre Fiction,4.6,36348,14.0
148,202,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,2014,41,Non Fiction,"Health, Fitness & Dieting",Diets & Weight Loss,4.6,5972,10.0
519,60,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2014,42,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.8,29673,16.0
500,203,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,2014,43,Non Fiction,"Cookbooks, Food & Wine",Vegetarian & Vegan,4.6,11128,23.0
338,204,The Alchemist,Paulo Coelho,2014,44,Fiction,Literature & Fiction,Genre Fiction,4.7,35799,39.0
221,205,Looking for Alaska,John Green,2014,45,Fiction,Teen & Young Adult,Literature & Fiction,4.5,8491,7.0
396,139,The Great Gatsby,F. Scott Fitzgerald,2014,46,Fiction,Literature & Fiction,Genre Fiction,4.4,11616,7.0
351,206,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,2014,47,Non Fiction,History,Americas,4.8,23358,12.0
223,207,Love You Forever,Robert Munsch,2014,48,Fiction,Children's Books,Classics,4.8,18613,5.0
434,208,The Maze Runner (Book 1),James Dashner,2014,49,Fiction,Teen & Young Adult,Literature & Fiction,4.5,10101,8.0
200,209,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,2014,50,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.6,10927,6.0
111,193,First 100 Words,Roger Priddy,2015,1,Non Fiction,Children's Books,Education & Reference,4.7,17323,4.0
423,210,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,2015,2,Non Fiction,"Crafts, Hobbies & Home",Home Improvement & Design,4.5,22641,11.0
210,161,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2015,3,Non Fiction,Children's Books,Humor,4.6,6990,4.0
295,211,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,2015,4,Non Fiction,Arts & Photography,Graphic Design,4.7,9366,9.0
310,6,StrengthsFinder 2.0,Gallup,2015,5,Non Fiction,Business & Money,Management & Leadership,4.0,5069,17.0
132,212,Go Set a Watchman: A Novel,Harper Lee,2015,6,Fiction,Literature & Fiction,Genre Fiction,3.6,14982,19.0
99,213,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,2015,7,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.7,5413,9.0
21,201,All the Light We Cannot See,Anthony Doerr,2015,8,Fiction,Literature & Fiction,Genre Fiction,4.6,36348,14.0
382,214,The Girl on the Train,Paula Hawkins,2015,9,Fiction,"Mystery, Thriller & Suspense",Thrillers & Suspense,4.1,79446,18.0
17,215,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,2015,10,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.4,2951,6.0
253,216,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,2015,11,Fiction,Children's Books,Growing Up & Facts of Life,4.8,6169,7.0
507,182,To Kill a Mockingbird,Harper Lee,2015,12,Fiction,Literature & Fiction,Genre Fiction,4.8,26234,0.0
16,217,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,2015,13,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.6,2925,6.0
18,218,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,2015,14,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.5,2426,8.0
174,219,Humans of New York : Stories,Brandon Stanton,2015,15,Non Fiction,Arts & Photography,Photography & Video,4.9,2812,17.0
433,220,The Martian,Andy Weir,2015,16,Fiction,"Mystery, Thriller & Suspense",Thrillers & Suspense,4.7,39459,9.0
248,137,"Oh, the Places You'll Go!",Dr. Seuss,2015,17,Fiction,Children's Books,Education & Reference,4.9,21834,8.0
206,168,Knock-Knock Jokes for Kids,Rob Elliott,2015,18,Non Fiction,Children's Books,Humor,4.5,3673,4.0
63,221,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2015,19,Fiction,Children's Books,Animals,4.8,10922,5.0
362,174,The Day the Crayons Quit,Drew Daywalt,2015,20,Fiction,Children's Books,"Arts, Music & Photography",4.8,8922,9.0
352,206,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,2015,21,Non Fiction,History,Americas,4.8,23358,12.0
191,103,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,2015,22,Non Fiction,Religion & Spirituality,Worship & Devotion,4.9,19576,8.0
234,199,Mindset: The New Psychology of Success,Carol S. Dweck,2015,23,Non Fiction,"Health, Fitness & Dieting",Psychology & Counseling,4.6,5542,10.0
149,222,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,2015,24,Fiction,Literature & Fiction,Women's Fiction,4.4,25624,14.0
54,223,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,2015,25,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.8,4022,4.0
167,200,How to Win Friends & Influence People,Dale Carnegie,2015,26,Non Fiction,Self-Help,Relationships,4.7,25001,11.0
325,224,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2015,27,Non Fiction,Self-Help,Relationships,4.8,25554,8.0
29,225,Balance (Angie's Extreme Stress Menders),Angie Grace,2015,28,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.6,1909,11.0
55,226,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,2015,29,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.8,3871,5.0
501,203,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,2015,30,Non Fiction,"Cookbooks, Food & Wine",Vegetarian & Vegan,4.6,11128,23.0
123,227,Giraffes Can't Dance,Giles Andreae,2015,31,Fiction,Children's Books,"Arts, Music & Photography",4.8,14038,4.0
542,159,Wonder,R. J. Palacio,2015,32,Fiction,Children's Books,Growing Up & Facts of Life,4.8,21625,9.0
335,46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2015,33,Non Fiction,Self-Help,Motivational,4.7,4725,16.0
376,170,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2015,34,Non Fiction,Self-Help,Personal Transformation,4.7,23308,6.0
34,228,Being Mortal: Medicine and What Matters in the End,Atul Gawande,2015,35,Non Fiction,Medical Books,Administration & Medicine Economics,4.8,11113,15.0
224,207,Love You Forever,Robert Munsch,2015,36,Fiction,Children's Books,Classics,4.8,18613,5.0
478,176,The Very Hungry Caterpillar,Eric Carle,2015,37,Fiction,Children's Books,Early Learning,4.9,19546,5.0
277,25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2015,38,Non Fiction,"New, Used & Rental Textbooks",Social Sciences,4.5,8580,46.0
35,229,Between the World and Me,Ta-Nehisi Coates,2015,39,Non Fiction,Biographies & Memoirs,Cultural & Regional,4.7,10070,13.0
28,230,Baby Touch and Feel: Animals,DK,2015,40,Non Fiction,Children's Books,Early Learning,4.6,5360,5.0
350,188,The Book with No Pictures,B. J. Novak,2015,41,Fiction,Children's Books,Growing Up & Facts of Life,4.8,8081,8.0
492,231,The Wright Brothers,David McCullough,2015,42,Non Fiction,Engineering & Transportation,Transportation,4.7,6169,16.0
89,232,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,2015,43,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.6,2134,5.0
437,233,The Nightingale: A Novel,Kristin Hannah,2015,44,Fiction,Literature & Fiction,Genre Fiction,4.8,49288,11.0
447,234,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,2015,45,Non Fiction,"Cookbooks, Food & Wine",Entertaining & Holidays,4.8,3428,14.0
528,235,What Pet Should I Get? (Classic Seuss),Dr. Seuss,2015,46,Fiction,Children's Books,Literature & Fiction,4.7,1873,14.0
201,236,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,2015,47,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.6,5235,5.0
158,237,Harry Potter Coloring Book,Scholastic,2015,48,Non Fiction,Children's Books,Growing Up & Facts of Life,4.7,3564,9.0
23,238,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,2015,49,Non Fiction,Biographies & Memoirs,Autobiography,4.6,15921,9.0
483,239,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,2015,50,Non Fiction,"Cookbooks, Food & Wine",Special Diet,4.6,7508,16.0
154,240,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,2016,1,Fiction,Children's Books,Growing Up & Facts of Life,4.0,23973,12.0
311,6,StrengthsFinder 2.0,Gallup,2016,2,Non Fiction,Business & Money,Management & Leadership,4.0,5069,17.0
112,193,First 100 Words,Roger Priddy,2016,3,Non Fiction,Children's Books,Education & Reference,4.7,17323,4.0
424,210,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,2016,4,Non Fiction,"Crafts, Hobbies & Home",Home Improvement & Design,4.5,22641,11.0
249,137,"Oh, the Places You'll Go!",Dr. Seuss,2016,5,Fiction,Children's Books,Education & Reference,4.9,21834,8.0
88,241,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,2016,6,Fiction,Children's Books,Growing Up & Facts of Life,4.8,5118,20.0
533,242,When Breath Becomes Air,Paul Kalanithi,2016,7,Non Fiction,Medical Books,Medicine,4.8,13779,14.0
124,227,Giraffes Can't Dance,Giles Andreae,2016,8,Fiction,Children's Books,"Arts, Music & Photography",4.8,14038,4.0
326,224,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2016,9,Non Fiction,Self-Help,Relationships,4.8,25554,8.0
484,239,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,2016,10,Non Fiction,"Cookbooks, Food & Wine",Special Diet,4.6,7508,16.0
9,243,A Man Called Ove: A Novel,Fredrik Backman,2016,11,Fiction,Literature & Fiction,Genre Fiction,4.6,23848,8.0
202,244,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,2016,12,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.8,8916,6.0
168,200,How to Win Friends & Influence People,Dale Carnegie,2016,13,Non Fiction,Self-Help,Relationships,4.7,25001,11.0
431,245,The Magnolia Story,Chip Gaines,2016,14,Non Fiction,Biographies & Memoirs,Arts & Literature,4.9,7861,5.0
211,161,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2016,15,Non Fiction,Children's Books,Humor,4.6,6990,4.0
508,182,To Kill a Mockingbird,Harper Lee,2016,16,Fiction,Literature & Fiction,Genre Fiction,4.8,26234,0.0
163,246,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,2016,17,Non Fiction,Politics & Social Sciences,Social Sciences,4.4,15526,14.0
102,247,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,2016,18,Fiction,Children's Books,"Arts, Music & Photography",4.7,4370,15.0
151,248,Hamilton: The Revolution,Lin-Manuel Miranda,2016,19,Non Fiction,Arts & Photography,Performing Arts,4.9,5867,54.0
383,214,The Girl on the Train,Paula Hawkins,2016,20,Fiction,"Mystery, Thriller & Suspense",Thrillers & Suspense,4.1,79446,7.0
235,199,Mindset: The New Psychology of Success,Carol S. Dweck,2016,21,Non Fiction,"Health, Fitness & Dieting",Psychology & Counseling,4.6,5542,10.0
444,249,"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,2016,22,Non Fiction,Teen & Young Adult,Education & Reference,4.3,807,36.0
15,250,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,2016,23,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.5,2313,4.0
377,170,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2016,24,Non Fiction,Self-Help,Personal Transformation,4.7,23308,6.0
229,251,Milk and Honey,Rupi Kaur,2016,25,Non Fiction,Literature & Fiction,Poetry,4.7,17739,8.0
390,252,The Going-To-Bed Book,Sandra Boynton,2016,26,Fiction,Children's Books,Humor,4.8,5249,5.0
37,253,Born to Run,Bruce Springsteen,2016,27,Non Fiction,Politics & Social Sciences,Social Sciences,4.7,3729,18.0
19,254,Alexander Hamilton,Ron Chernow,2016,28,Non Fiction,Biographies & Memoirs,Autobiography,4.8,9198,13.0
479,176,The Very Hungry Caterpillar,Eric Carle,2016,29,Fiction,Children's Books,Early Learning,4.9,19546,5.0
336,46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2016,30,Non Fiction,Self-Help,Motivational,4.7,4725,16.0
358,255,The Constitution of the United States,Delegates of the Constitutional,2016,31,Non Fiction,History,Americas,4.8,2774,0.0
543,159,Wonder,R. J. Palacio,2016,32,Fiction,Children's Books,Growing Up & Facts of Life,4.8,21625,9.0
486,256,The Wonderful Things You Will Be,Emily Winfield Martin,2016,33,Fiction,Children's Books,Growing Up & Facts of Life,4.9,8842,10.0
546,257,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,2016,34,Non Fiction,Self-Help,Happiness,4.7,14331,8.0
502,203,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,2016,35,Non Fiction,"Cookbooks, Food & Wine",Vegetarian & Vegan,4.6,11128,23.0
268,258,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,2016,36,Fiction,Children's Books,"Activities, Crafts & Games",4.7,3503,9.0
278,25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2016,37,Non Fiction,"New, Used & Rental Textbooks",Social Sciences,4.5,8580,46.0
49,259,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,2016,38,Non Fiction,"Cookbooks, Food & Wine",Quick & Easy,4.7,4761,16.0
36,229,Between the World and Me,Ta-Nehisi Coates,2016,39,Non Fiction,Biographies & Memoirs,Cultural & Regional,4.7,10070,13.0
43,260,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,2016,40,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.6,10369,4.0
64,221,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2016,41,Fiction,Children's Books,Animals,4.8,10922,5.0
192,103,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,2016,42,Non Fiction,Religion & Spirituality,Worship & Devotion,4.9,19576,8.0
242,261,Night (Night),Elie Wiesel,2016,43,Non Fiction,History,World,4.7,5178,9.0
100,262,Fahrenheit 451,Ray Bradbury,2016,44,Fiction,Politics & Social Sciences,Politics & Government,4.6,10721,8.0
159,263,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,2016,45,Fiction,Children's Books,Growing Up & Facts of Life,4.8,13471,52.0
157,264,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,2016,46,Fiction,Children's Books,Growing Up & Facts of Life,4.9,10052,22.0
0,265,10-Day Green Smoothie Cleanse,JJ Smith,2016,47,Non Fiction,"Health, Fitness & Dieting",Diets & Weight Loss,4.7,17350,8.0
523,266,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,2016,48,Non Fiction,Christian Books & Bibles,Christian Living,4.7,4585,9.0
438,233,The Nightingale: A Novel,Kristin Hannah,2016,49,Fiction,Literature & Fiction,Genre Fiction,4.8,49288,11.0
153,267,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,2016,50,Fiction,Children's Books,Growing Up & Facts of Life,4.9,19622,30.0
544,159,Wonder,R. J. Palacio,2017,1,Fiction,Children's Books,Growing Up & Facts of Life,4.8,21625,9.0
230,251,Milk and Honey,Rupi Kaur,2017,2,Non Fiction,Literature & Fiction,Poetry,4.7,17739,8.0
125,227,Giraffes Can't Dance,Giles Andreae,2017,3,Fiction,Children's Books,"Arts, Music & Photography",4.8,14038,4.0
464,268,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,2017,4,Non Fiction,Humor & Entertainment,Humor,4.6,26490,15.0
381,269,The Getaway,Jeff Kinney,2017,5,Fiction,Children's Books,Growing Up & Facts of Life,4.8,5836,0.0
415,270,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,2017,6,Non Fiction,"Cookbooks, Food & Wine",Cooking by Ingredient,4.3,7368,7.0
164,246,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,2017,7,Non Fiction,Politics & Social Sciences,Social Sciences,4.4,15526,14.0
26,271,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2017,8,Non Fiction,History,Americas,4.7,9374,9.0
113,193,First 100 Words,Roger Priddy,2017,9,Non Fiction,Children's Books,Education & Reference,4.7,17323,4.0
485,239,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,2017,10,Non Fiction,"Cookbooks, Food & Wine",Special Diet,4.6,7508,16.0
399,272,The Handmaid's Tale,Margaret Atwood,2017,11,Fiction,Literature & Fiction,Genre Fiction,4.3,29442,7.0
327,224,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2017,12,Non Fiction,Self-Help,Relationships,4.8,25554,8.0
547,257,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,2017,13,Non Fiction,Self-Help,Happiness,4.7,14331,8.0
526,273,What Happened,Hillary Rodham Clinton,2017,14,Non Fiction,Politics & Social Sciences,Politics & Government,4.6,5492,18.0
250,137,"Oh, the Places You'll Go!",Dr. Seuss,2017,15,Fiction,Children's Books,Education & Reference,4.9,21834,8.0
